symbol;nazwa;opisObejmujeNieobejmuje;id;opis
25.12;Produkcja metalowych elementów stolarki budowlanej;;496;Produkcja metalowych elementów stolarki budowlanej
25.12.Z;Produkcja metalowych elementów stolarki budowlanej;25.12.Z Podklasa ta obejmuje: produkcję metalowych drzwi, okien i ich ram, okiennic, żaluzji, bram, produkcję metalowych ścianek działowych mocowanych do podłogi.;497;Produkcja metalowych elementów stolarki budowlanej
25.21;Produkcja grzejników i kotłów centralnego ogrzewania;;499;Produkcja grzejników i kotłów centralnego ogrzewania
25.21.Z;Produkcja grzejników i kotłów centralnego ogrzewania;25.21.Z Podklasa ta nie obejmuje: produkcji pieców elektrycznych i podgrzewaczy wody, sklasyfikowanej w 27.51.Z.;500;Produkcja grzejników i kotłów centralnego ogrzewania
25.29;Produkcja pozostałych zbiorników, cystern i pojemników metalowych;;501;Produkcja pozostałych zbiorników, cystern i pojemników metalowych
25.29.Z;Produkcja pozostałych zbiorników, cystern i pojemników metalowych;25.29.Z Podklasa ta obejmuje: produkcję zbiorników, cystern i podobnych pojemników metalowych, wykorzystywanych do magazynowania i przy produkcji, produkcję pojemników metalowych do przechowywania sprężonego lub ciekłego gazu. Podklasa ta nie obejmuje: produkcji metalowych beczek, bębnów, puszek, wiader, pudełek i podobnych wyrobów o pojemności <= 300 litrów, sklasyfikowanej w 25.91.Z, 25.92.Z, produkcji kontenerów przystosowanych do przewozu środkami transportu, sklasyfikowanej w 29.20.Z.;502;Produkcja pozostałych zbiorników, cystern i pojemników metalowych
25.30;Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą;;504;Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą
25.30.Z;Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą;25.30.Z Podklasa ta obejmuje: produkcję kotłów wytwarzających parę wodną lub inne rodzaje pary, produkcję pomocniczych urządzeń do kotłów parowych, takich jak: skraplacze, odzyskiwacze, podgrzewacze, kolektory i zasobniki pary, produkcję reaktorów jądrowych, z wyłączeniem separatorów izotopów, produkcję części kotłów okrętowych i energetycznych, produkcję systemów rurowych ciśnieniowych lub pozostałych systemów rurowych, włączając projekty techniczne i prace konstrukcyjne. Podklasa ta nie obejmuje: produkcji grzejników i kotłów centralnego ogrzewania, sklasyfikowanej w 25.21.Z, produkcji zespołów turbinowo-kotłowych, sklasyfikowanej w 28.11.Z, produkcji maszyn i urządzeń do rozdzielania izotopów, sklasyfikowanej w 28.99.Z.;505;Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą
25.40;Produkcja broni i amunicji;;507;Produkcja broni i amunicji
25.40.Z;Produkcja broni i amunicji;25.40.Z Podklasa ta obejmuje: produkcję broni ciężkiej (armat, dział ruchomych, wyrzutni rakietowych, wyrzutni torped, ciężkich karabinów maszynowych), produkcję broni ręcznej (rewolwerów, strzelb, ręcznych karabinów maszynowych), produkcję broni pneumatycznej lub gazowej, produkcję amunicji bojowej, produkcję broni i amunicji myśliwskiej, sportowej i obronnej, produkcję bomb, min, torped i podobnych wyrobów. Podklasa ta nie obejmuje: produkcji spłonek, detonatorów lub rakiet sygnalizacyjnych, sklasyfikowanej w 20.51.Z, produkcji szabli, szpad, bagnetów itp., sklasyfikowanej w 25.71.Z, produkcji opancerzonych pojazdów do transportu pieniędzy i kosztowności, sklasyfikowanej w 29.10.E, produkcji statków kosmicznych, sklasyfikowanej w 30.30.Z, produkcji czołgów i pozostałych pojazdów bojowych, sklasyfikowanej w 30.40.Z.;508;Produkcja broni i amunicji
25.50;"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków";;510;"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków"
25.50.Z;"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków";25.50.Z Podklasa ta obejmuje: kucie, prasowanie, wytłaczanie i walcowanie metali, metalurgię proszków: wykonywanie elementów metalowych bezpośrednio z proszków metali na drodze obróbki termicznej (spiekania) lub pod ciśnieniem. Podklasa ta nie obejmuje: produkcji proszku metali, sklasyfikowanej w odpowiednich podklasach grup 24.1, 24.2.;511;"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków"
25.61;Obróbka metali i nakładanie powłok na metale;;513;Obróbka metali i nakładanie powłok na metale
25.61.Z;Obróbka metali i nakładanie powłok na metale;25.61.Z Podklasa ta obejmuje: platerowanie, anodowanie i podobną obróbkę metali, obróbkę termiczną metali, wygładzanie, piaskowanie, bębnowanie, czyszczenie metali, barwienie i grawerowanie metalu, pokrywanie metali powłokami niemetalicznymi, poprzez: emaliowanie, lakierowanie, pokrywanie tworzywami sztucznymi itp., utwardzanie (hartowanie), polerowanie metali. Podklasa ta nie obejmuje: drukowania bezpośrednio na metalu, sklasyfikowanego w 18.12.Z, pokrywania metalami tworzyw sztucznych, sklasyfikowanego w 22.29.Z, pokrywania metalami szlachetnymi metali nieszlachetnych i pozostałych metali, sklasyfikowanego w 24.41.Z, 24.42.B, 24.43.Z, 24.44.Z.;514;Obróbka metali i nakładanie powłok na metale
25.62;Obróbka mechaniczna elementów metalowych;;515;Obróbka mechaniczna elementów metalowych
25.62.Z;Obróbka mechaniczna elementów metalowych;25.62.Z Podklasa ta obejmuje: wiercenie, toczenie, frezowanie, wiórkowanie, struganie, szlifowanie, przeciąganie, polerowanie, cięcie, ostrzenie, spawanie, nitowanie itp. elementów metalowych, wyciie i pisanie na metalach za pomocą wiązki laserowej. Podklasa ta nie obejmuje: usług grawerowania na poczekaniu, sklasyfikowanych w 95.25.Z.;516;Obróbka mechaniczna elementów metalowych
25.71;Produkcja wyrobów nożowniczych i sztućców;;518;Produkcja wyrobów nożowniczych i sztućców
25.71.Z;Produkcja wyrobów nożowniczych i sztućców;25.71.Z Podklasa ta obejmuje: produkcję sztućców i wyrobów nożowniczych, takich jak: noże, widelce, łyżki itp., produkcję pozostałych wyrobów nożowniczych, takich jak: tasaki i siekiery, maszynki i ostrza do golenia, nożyczki i maszynki do strzyżenia włosów, produkcję szabli, szpad, bagnetów itp. Podklasa ta nie obejmuje: produkcji garnków, czajników itp. wyrobów, naczyń stołowych (waz, półmisków itp.) oraz wyrobów płaskich (talerzy, spodków), sklasyfikowanej w 25.99.Z, produkcji sztućców z metali szlachetnych, sklasyfikowanej w 32.12.Z.;519;Produkcja wyrobów nożowniczych i sztućców
25.72;Produkcja zamków i zawiasów;;520;Produkcja zamków i zawiasów
25.72.Z;Produkcja zamków i zawiasów;25.72.Z Podklasa ta obejmuje: produkcję kłódek, zamków, kluczy, zawiasów, klamer, okuć i pozostałych podobnych wyrobów do stolarki budowlanej, mebli, pojazdów itp.;521;Produkcja zamków i zawiasów
25.73;Produkcja narzędzi;;522;Produkcja narzędzi
25.73.Z;Produkcja narzędzi;25.73.Z Podklasa ta obejmuje: produkcję noży i ostrzy tnących do maszyn lub urządzeń mechanicznych, produkcję narzędzi ręcznych, takich jak: kombinerki, śrubokręty itp., produkcję narzędzi ręcznych stosowanych w rolnictwie, innych niż mechaniczne, produkcję pił do cięcia i ostrzy do nich, włączając tarcze tnące i łańcuchy, produkcję wymiennych narzędzi wchodzących w skład narzędzi ręcznych, nawet z napędem mechanicznym oraz do obrabiarek: wierteł, przebijaków, noży frezarskich itp., produkcję narzędzi kowalskich: kowadeł, palenisk kowalskich itp., produkcję skrzynek formierskich i form, z wyłączeniem wlewnic, produkcję narzędzi do pras, produkcję imadeł, zacisków. Podklasa ta nie obejmuje: produkcji narzędzi ręcznych z napędem mechanicznym, sklasyfikowanej w 28.24.Z, produkcji wlewnic, sklasyfikowanej w 28.91.Z.;523;Produkcja narzędzi
25.91;Produkcja pojemników metalowych;;525;Produkcja pojemników metalowych
25.91.Z;Produkcja pojemników metalowych;25.91.Z Podklasa ta obejmuje: produkcję pojemników metalowych o pojemności <= 300 litrów, takich jak: kubły, wiadra, puszki, kosze, skrzynki. Podklasa ta nie obejmuje: produkcji zbiorników i cystern, sklasyfikowanej w odpowiednich podklasach grupy 25.2.;526;Produkcja pojemników metalowych
25.92;Produkcja opakowań z metali ;;527;Produkcja opakowań z metali 
25.92.Z;Produkcja opakowań z metali ;25.92.Z Podklasa ta obejmuje: produkcję puszek do produktów żywnościowych, tubek wyciskanych i pudełek o pojemności <= 300 litrów, produkcję zamknięć metalowych do opakowań.;528;Produkcja opakowań z metali 
25.93;Produkcja wyrobów z drutu, łańcuchów i sprężyn;;529;Produkcja wyrobów z drutu, łańcuchów i sprężyn
25.93.Z;Produkcja wyrobów z drutu, łańcuchów i sprężyn;25.93.Z Podklasa ta obejmuje: produkcję metalowych lin, taśm plecionych i podobnych wyrobów, produkcję metalowych drutów i przewodów nieizolowanych lub kabli i przewodów izolowanych, które nie mogą być stosowane jako przewodniki elektryczności, produkcję drutu otulonego i rdzeni elektrod, produkcję wyrobów z drutu: drutu kolczastego, siatki ogrodzeniowej, rusztów, siatek, tkanin itp., produkcję elektrod w otulinie do spawania łukiem elektrycznym, produkcję gwoździ i pinezek, produkcję sprężyn (z wyłączeniem sprężyn do zegarków), takich jak: resory piórowe, sprężyny zwojowe, sprężyny skręcane, pióra do resorów, produkcję łańcuchów, z wyłączeniem łańcuchów napędowych. Podklasa ta nie obejmuje: produkcji sprężyn do zegarów i zegarków, sklasyfikowanej w 26.52.Z, produkcji drutów i kabli do przesyłania prądu elektrycznego, sklasyfikowanej w 27.32.Z, produkcji łańcuchów napędowych, sklasyfikowanej w 28.15.Z.;530;Produkcja wyrobów z drutu, łańcuchów i sprężyn
25.94;Produkcja złączy i śrub;;531;Produkcja złączy i śrub
25.94.Z;Produkcja złączy i śrub;25.94.Z Podklasa ta obejmuje: produkcję nitów, podkładek i podobnych wyrobów niegwintowanych, produkcję wyrobów gwintowanych: śrub, wkrętów, nakrętek i podobnych wyrobów gwintowanych.;532;Produkcja złączy i śrub
25.99;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana;;533;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana
25.99.Z;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana;25.99.Z Podklasa ta obejmuje: produkcję metalowych artykułów gospodarstwa domowego, takich jak: naczynia płaskie: talerze, spodki itp., naczynia drążone: garnki, czajniki itp., naczynia stołowe: miski, półmiski itp., rondle, patelnie i pozostałe nieelektryczne wyroby stołowe i kuchenne, drobne ręczne przedmioty i akcesoria kuchenne, metalowe szczotki do szorowania, produkcję elementów budowlanych z cynku: rynien, wanien, umywalek, brodzików i podobnych wyrobów, produkcję metalowych wyrobów do użytku biurowego, z wyłączeniem mebli, produkcję sejfów, kaset pancernych, drzwi opancerzonych itp., produkcję różnych wyrobów metalowych, takich jak: śruby napędowe do statków i łopatek do nich, kotwice, dzwony, gotowe elementy torów kolejowych, zatrzaski, sprzączki, haczyki, klamerki, drabiny metalowe, znaki metalowe, włączając znaki drogowe, produkcję worków z folii metalowej, produkcję metalowych magnesów stałych, produkcję termosów i butelek metalowych, produkcję metalowych odznak i insygniów wojskowych, produkcję odważników stosowanych w podnoszeniu ciężarów, produkcję metalowych wałków do włosów, metalowych rączek i ram parasolek, grzebieni. Podklasa ta nie obejmuje: produkcji szabli, mieczy, bagnetów itp., sklasyfikowanej w 25.71.Z, produkcji wózków na zakupy, sklasyfikowanej w 30.99.Z, produkcji mebli metalowych, sklasyfikowanej w 31.01.Z, 31.02.Z, 31.09.Z, produkcji wyrobów sportowych, sklasyfikowanej w 32.30.Z, produkcji gier i zabawek, sklasyfikowanej w 32.40.Z.;534;Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana
26.11;Produkcja elementów elektronicznych;;537;Produkcja elementów elektronicznych
26.11.Z;Produkcja elementów elektronicznych;26.11.Z Podklasa ta obejmuje produkcję półprzewodników i pozostałych elementów elektronicznych, takich jak: kondensatory elektroniczne, rezystory elektroniczne, mikroprocesory, lampy elektronowe, złączki elektroniczne, puste płytki obwodów drukowanych, układy scalone (analogowe, cyfrowe, hybrydowe), diody, tranzystory i podobne elementy, induktory elektroniczne (np. dławiki, cewki, transformatory), kryształy elektroniczne i zestawy kryształów, solenoidy, przełączniki, przetworniki dla zastosowań elektronicznych, kostki lub płytki do półprzewodników - wyroby gotowe lub półwyroby, elementy monitorów (plazmowych, polimerowych, ciekłokrystalicznych (LCD)), diody elektroluminescencyjne (LED), kable do drukarek, monitorów, do USB (uniwersalnych magistrali szeregowych), złącza itp. Podklasa ta nie obejmuje: drukowania kart inteligentnych, sklasyfikowanego w 18.12.Z, produkcji modemów (sprzętu transmisyjnego), sklasyfikowanej w 26.30.Z, produkcji monitorów komputerowych i telewizyjnych, sklasyfikowanej w 26.20.Z, 26.40.Z, produkcji lamp rentgenowskich i podobnych urządzeń radiacyjnych, sklasyfikowanej w 26.60.Z, produkcji instrumentów i sprzętu optycznego, sklasyfikowanej w 26.70.Z, produkcji podobnych urządzeń do zastosowań elektrycznych, sklasyfikowanej w odpowiednich podklasach działu 27, produkcji stateczników, sklasyfikowanej w 27.11.Z, produkcji przekaźników elektrycznych, sklasyfikowanej w 27.12.Z, produkcji sprzętu instalacyjnego, sklasyfikowanej w 27.33.Z, produkcji urządzeń/sprzętu kompletnego, sklasyfikowanej w odpowiedniej podklasie klasyfikującej dane urządzenie/sprzęt kompletny.;538;Produkcja elementów elektronicznych
26.12;Produkcja elektronicznych obwodów drukowanych;;539;Produkcja elektronicznych obwodów drukowanych
26.12.Z;Produkcja elektronicznych obwodów drukowanych;26.12.Z Podklasa ta obejmuje: produkcję zmontowanych płytek obwodów drukowanych, montaż obwodów drukowanych, produkcję kart interfejsu (np. dźwięk, obraz, sterowniki, sieć, modemy). Podklasa ta nie obejmuje: drukowania kart inteligentnych, sklasyfikowanej w 18.12.Z, produkcji pustych płytek obwodów drukowanych, sklasyfikowanej w 26.11.Z.;540;Produkcja elektronicznych obwodów drukowanych
26.20;Produkcja komputerów i urządzeń peryferyjnych;;542;Produkcja komputerów i urządzeń peryferyjnych
26.20.Z;Produkcja komputerów i urządzeń peryferyjnych;"26.20.Z Podklasa ta obejmuje produkcję i/lub montaż komputerów elektronicznych, takich jak komputery dużej mocy (mainframe), komputery biurkowe (desktopy), laptopy i serwery komputerowe oraz produkcję komputerowego sprzętu peryferyjnego, takiego jak urządzenia pamięci, urządzenia wejścia/wyjścia (drukarki, monitory, klawiatury). Istnieją następujące typy komputerów: analogowe, cyfrowe lub hybrydowe. Komputery cyfrowe, najbardziej popularne, spełniają następujące funkcje: (1) przechowują programy użytkowe lub programy i dane niezbędne do jego realizacji; (2) mogą być dowolnie programowane zgodnie z wymaganiami użytkownika; (3) wykonują obliczenia arytmetyczne określone przez użytkownika; (4) wykonują, bez udziału człowieka, program użytkowy, który wymaga, aby komputer modyfikował swoje postępowanie na podstawie logicznych decyzji podejmowanych podczas uruchamiania przetwarzania. Komputery analogowe mogą realizować symulację modeli matematycznych, zawierają co najmniej analogowe sterowanie i elementy oprogramowania. Podklasa ta obejmuje: produkcję komputerów biurkowych (desktopów), produkcję laptopów, produkcję komputerów dużej mocy (mainframe), produkcję komputerów kieszonkowych (np. notesów elektronicznych), produkcję napędów dysków magnetycznych, modułów pamięci typu ""flash"" i pozostałych urządzeń pamięci, produkcję napędów dysków optycznych (np. CD-RW, CD-ROM, DVD-ROM, DVD-RW), produkcję drukarek, produkcję monitorów komputerowych, produkcję klawiatur, produkcję wszelkiego rodzaju myszy, joysticków i manipulatorów kulowych (trackball), produkcję specjalistycznych terminali komputerowych, produkcję serwerów komputerowych, produkcję skanerów, włączając skanery kodu kreskowego, produkcję czytników kart inteligentnych, produkcję kasków do kreowania rzeczywistości wirtualnej, produkcję projektorów komputerowych (projektorów wideo), produkcję terminali komputerowych, bankomatów (typu ATM), terminali kasowych (POS), które działają na zasadach innych niż mechaniczne, produkcję wielofunkcyjnych urządzeń spełniających dwie lub więcej funkcji: drukowanie, skanowanie, kopiowanie, faksowanie. Podklasa ta nie obejmuje: reprodukcji zapisanych nośników informacji (nośników komputerowych, dźwięku, obrazu, itp.), sklasyfikowanej w 18.20.Z, produkcji elementów elektronicznych i zespołów elektronicznych stosowanych w komputerach i urządzeniach peryferyjnych, sklasyfikowanej w 26.11.Z i 26.12.Z, produkcji elektronicznych obwodów drukowanych, sklasyfikowanej w 26.12.Z, produkcji komunikacyjnych modemów i sprzętu transmisyjnego, cyfrowych przełączników telekomunikacyjnych, urządzeń komunikacyjnych do przesyłania danych (np. pomosty, routery, przejścia), sklasyfikowanej w 26.30.Z, produkcji urządzeń elektronicznych powszechnego użytku, takich jak odtwarzacze CD i DVD, sklasyfikowanej w 26.40.Z, produkcji monitorów, ekranów telewizyjnych, sklasyfikowanej w 26.40.Z, produkcji konsol do gier wideo, sklasyfikowanej w 26.40.Z, produkcji niezapisanych optycznych i magnetycznych nośników informacji do stosowania z komputerami lub innymi urządzeniami, sklasyfikowanej w 26.80.Z.";543;Produkcja komputerów i urządzeń peryferyjnych
26.30;Produkcja sprzętu (tele)komunikacyjnego;;545;Produkcja sprzętu (tele)komunikacyjnego
26.30.Z;Produkcja sprzętu (tele)komunikacyjnego;26.30.Z Podklasa ta obejmuje produkcję telefonów i urządzeń transmisyjnych, stosowanych do elektronicznego przesyłania sygnałów drogą przewodową lub za pomocą fal przy pomocy nadajników radiowych, telewizyjnych oraz urządzeń transmisji bezprzewodowej. Podklasa ta obejmuje: produkcję sprzętu przekaźnikowego dla centrali telefonicznych, produkcję telefonów bezprzewodowych, produkcję sprzętu dla prywatnych centrali (PAX) połączonych z publiczną siecią telefoniczną, produkcję telefonów, faksów, włączając urządzenia typu automatyczne sekretarki telefoniczne, produkcję urządzeń komunikacyjnych do przesyłania danych, takich jak pomosty, routery i przejścia, produkcję anten nadawczych i odbiorczych, produkcję urządzeń dla telewizji kablowej, produkcję pagerów, produkcję telefonów komórkowych, produkcję przenośnych urządzeń komunikacyjnych, produkcję urządzeń dla rozgłośni radiowych i studiów telewizyjnych oraz urządzeń nadawczych, włączając produkcję kamer telewizyjnych, produkcję modemów, sprzętu do przesyłania informacji, produkcję systemów przeciwwłamaniowych i przeciwpożarowych, wysyłających sygnały do stacji kontrolnej, produkcję radiowych i telewizyjnych nadajników przekaźnikowych, produkcję urządzeń komunikacyjnych działających na podczerwień (np. urządzeń zdalnie sterowanych, pilotów). Podklasa ta nie obejmuje: produkcji elementów i podzespołów elektronicznych stosowanych w urządzeniach transmisyjnych, włączając wewnętrzne/zewnętrzne modemy komputerowe, sklasyfikowanej w odpowiednich podklasach grupy 26.1, produkcji zmontowanych płytek obwodów drukowanych, sklasyfikowanej w 26.12.Z, produkcji komputerów i urządzeń peryferyjnych, sklasyfikowanej w 26.20.Z, produkcji sprzętu audio i wideo powszechnego użytku, sklasyfikowanej w 26.40.Z, produkcji urządzeń dla globalnego systemu określania położenia (GPS), sklasyfikowanej w 26.51.Z, produkcji elektronicznych tablic wyników, sklasyfikowanej w 27.90.Z, produkcji urządzeń sygnalizacji świetlnej, sklasyfikowanej w 27.90.Z.;546;Produkcja sprzętu (tele)komunikacyjnego
26.40;Produkcja elektronicznego sprzętu powszechnego użytku;;548;Produkcja elektronicznego sprzętu powszechnego użytku
26.40.Z;Produkcja elektronicznego sprzętu powszechnego użytku;26.40.Z Podklasa ta obejmuje produkcję elektronicznego sprzętu audio i wideo do użytku domowego, w pojazdach samochodowych, do systemów nagłaśniających i wzmocnienia instrumentów muzycznych. Podklasa ta obejmuje: produkcję magnetowidów i podobnego sprzętu nagrywającego, produkcję odbiorników telewizyjnych, produkcję monitorów i ekranów telewizyjnych, produkcję urządzeń do nagrywania i kopiowania dźwięku, produkcję aparatury stereofonicznej, produkcję odbiorników radiowych, produkcję aparatury nagłaśniającej, produkcję kamer wideo użytku domowego, produkcję szaf grających, produkcję wzmacniaczy do instrumentów muzycznych i systemów nagłaśniających, produkcję mikrofonów, produkcję odtwarzaczy CD i DVD, produkcję sprzętu do karaoke, produkcję słuchawek (np. radiowych, stereofonicznych, komputerowych), produkcję konsoli do gier video. Podklasa ta nie obejmuje: reprodukcji zapisanych nośników informacji (nośników komputerowych, dźwięku, obrazu, itp.), sklasyfikowanej w 18.20.Z, produkcji urządzeń peryferyjnych i monitorów komputerowych, sklasyfikowanej w 26.20.Z, produkcji urządzeń typu automatyczne sekretarki telefoniczne, sklasyfikowanej w 26.30.Z, produkcji pagerów, sklasyfikowanej w 26.30.Z, produkcji urządzeń do zdalnego sterowania (drogą radiową i podczerwienią), sklasyfikowanej w 26.30.Z, produkcji urządzeń studyjnych, takich jak: sprzęt do reprodukcji, anteny nadawcze, przekaźnikowe i odbiorcze, profesjonalne kamery wideo, sklasyfikowanej w 26.30.Z, produkcji kamer cyfrowych sklasyfikowanej w 26.70.Z, produkcji gier elektronicznych ze stałym (nie wymienialnym) oprogramowaniem, sklasyfikowanej w 32.40.Z.;549;Produkcja elektronicznego sprzętu powszechnego użytku
26.51;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych;;551;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych
26.51.Z;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych;"26.51.Z Podklasa ta obejmuje produkcję przyrządów i instrumentów lotniczych i morskich do poszukiwania, wykrywania, nawigacji i sterowania; produkcję automatycznych układów kontroli i sterowania do zastosowań takich jak: ogrzewanie, klimatyzacja, chłodzenie; instrumentów i przyrządów do mierzenia, wyświetlania, wskazywania, zapisywania, przekazywania i sterowania temperaturą, wilgotnością, ciśnieniem, spalaniem, przepływem, poziomem, lepkością, gęstością, kwasowością, stężeniem, obrotem; produkcję instrumentów do sumowania (np. rejestrowania), płynomierzy i przyrządów liczących; produkcję instrumentów do pomiaru i kontroli parametrów elektryczności i sygnałów elektrycznych; produkcję instrumentów i przyrządów dla laboratoriów analitycznych do analiz chemicznych lub fizycznych składu lub stężenia próbek substancji stałych, płynnych, gazowych lub mieszanych; produkcję pozostałych przyrządów pomiarowych i kontrolnych oraz części do nich; produkcję nieelektrycznych przyrządów pomiarowych, kontrolnych i nawigacyjnych, z wyłączeniem prostych narzędzi mechanicznych. Podklasa ta obejmuje: produkcję instrumentów do silników samolotowych, produkcję przyrządów do testowania spalin samochodowych, produkcję przyrządów meteorologicznych, produkcję aparatury doświadczalnej do badania właściwości fizycznych, produkcję wariografów (wykrywaczy kłamstw), produkcję instrumentów do wykrywania i monitorowania promieniowania, produkcję przyrządów pomiarowych, produkcję szklanych termometrów cieczowych i termometrów bimetalicznych, z wyłączeniem do zastosowań medycznych, produkcję humidostatów (higrostatów), produkcję układów regulacji hydronicznej (grzewczej), produkcję przyrządów do kontroli płomienia i palnika, produkcję spektrometrów, produkcję pneumatycznych przyrządów pomiarowych, produkcję liczników zużycia, np. wody, gazu, prądu, produkcję przepływomierzy i przyrządów liczących, produkcję liczników ilości ładunku, produkcję wykrywaczy min, generatorów impulsów; wykrywaczy metali, produkcję przyrządów i instrumentów lotniczych i morskich do poszukiwania, wykrywania i nawigacji, włączając pławy radiohydroakustyczne, produkcję przyrządów do globalnego systemu określania położenia (GPS), produkcję przyrządów kontroli środowiska i automatycznego sterowania, produkcję przyrządów pomiarowych i rejestrujących (np. rejestratorów lotu), produkcję radarów, detektorów ruchu, produkcję laboratoryjnych instrumentów analitycznych (np. sprzętu do analizy krwi), wag laboratoryjnych, inkubatorów i różnej aparatury laboratoryjnej do pomiarów, kontroli itp., produkcję pozostałych przyrządów pomiarowych i kontrolnych. Podklasa ta nie obejmuje: produkcji urządzeń typu automatyczne sekretarki telefoniczne, sklasyfikowanej w 26.30.Z, produkcji medycznego sprzętu do badania i naświetlań, sklasyfikowanej w 26.60.Z, produkcji optycznego sprzętu do określania położenia, sklasyfikowanej w 26.70.Z, produkcji dyktafonów, sklasyfikowanej w 28.23.Z, produkcji wag innych niż laboratoryjne, sklasyfikowanej w 28.29.Z, instalowania aparatury do kontroli procesów przemysłowych, sklasyfikowanego w 33.20.Z, produkcji prostych mechanicznych narzędzi pomiarowych (np. taśm pomiarowych, suwmiarek), sklasyfikowanej w odpowiedniej podklasie według materiału, z jakiego zostało narzędzie wykoe.";552;Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych
26.52;Produkcja zegarków i zegarów;;553;Produkcja zegarków i zegarów
26.52.Z;Produkcja zegarków i zegarów;26.52.Z Podklasa ta obejmuje: produkcję zegarków i zegarów wszelkich typów, włączając mechanizmy zegarowe montowane na płytach czołowych urządzeń, produkcję kopert zegarów i zegarków, włączając koperty z metali szlachetnych, produkcję urządzeń rejestrujących czas oraz urządzeń z mechanizmem zegarowym lub silnikiem synchronicznym do pomiaru, rejestrowania lub wskazywania zarejestrowanych przedziałów czasowych, takich jak: parkometry, czasomierze, datowniki, regulatory programowe, produkcję wyłączników czasowych i pozostałych urządzeń wyzwalających z mechanizmem zegarowym lub silnikiem synchronicznym: zamki z regulatorem czasowym, produkcję części do zegarów i zegarków: mechanizmów do wszelkiego typów zegarów i zegarków, sprężyn, kamieni, tarcz, wskazówek, płytek, mostków i pozostałych części, kopert i obudów zegarków i zegarów, z dowolnego materiału. Podklasa ta nie obejmuje: produkcji pasków do zegarków z materiałów niemetalicznych (tj. tekstylnych, skórzanych, z tworzyw sztucznych), sklasyfikowanej w 15.12.Z, produkcji pasków do zegarków z metali szlachetnych, sklasyfikowanej w 32.12.Z, produkcji pasków do zegarków z metali nieszlachetnych, sklasyfikowanej w 32.13.Z.;554;Produkcja zegarków i zegarów
26.60;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego;;556;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego
26.60.Z;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego;"26.60.Z Podklasa ta obejmuje produkcję urządzeń elektromedycznych i elektroterapeutycznych, takich jak: sprzęt do obrazowania metodą rezosu magnetycznego, medyczne urządzenia ultradźwiękowe, elektrokardiografy, endoskopy; produkcję aparatury i lamp wykorzystujących promieniowanie do zastosowań medycznych, diagnostycznych, terapeutycznych, przemysłowych oraz w badaniach i nauce. Do napromieniowania mogą być stosowane aparaty wykorzystujące promienie rentgenowskie, beta, gamma lub inne promieniowanie jonizujące. Podklasa ta obejmuje: produkcję aparatury i lamp wykorzystujących promieniowanie beta, gamma, rentgenowskie lub inne promieniowanie do zastosowań przemysłowych, medycznych, diagnostycznych, terapeutycznych oraz w badaniach i nauce, produkcję tomografów komputerowych (CT), produkcję tomografów emisji pozytonowej (PET), produkcję sprzętu do obrazowania metodą rezosu magnetycznego (MRI), produkcję urządzeń do ultrasonografii, produkcję elektrokardiografów, produkcję medycznego sprzętu laserowego, produkcję elektromedycznego sprzętu endoskopowego, produkcję rozruszników serca, produkcję aparatów i protez słuchowych, produkcję urządzeń do naświetlania żywności i mleka. Podklasa ta nie obejmuje: produkcji łóżek do opalania, sklasyfikowanej w 28.99.Z.";557;Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego
26.70;Produkcja instrumentów optycznych i sprzętu fotograficznego;;559;Produkcja instrumentów optycznych i sprzętu fotograficznego
